,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
42750,1606,"An unsolved murder at Portland's infamous Paranoid Park brings detectives to a local high school, propelling a young skater into a moral odyssey where he must not only deal with the pain and disconnect of adolescence but the consequences of his own actions.",R,Art House and International|Drama,Gus Van Sant,Gus Van Sant,"May 21, 2007","Oct 7, 2008",$,241672,84 minutes,IFC First Take,This is easily Van Sant's most satisfying film of his recent youth alienation pictures.,0.8,fresh,Kaleem Aftab,0,The List,"November 3, 2018"
42863,1608,"A group of air crash survivors are stranded in the Mongolian desert with no chance of rescue. Facing a brutal environment, dwindling resources, and an attack by desert smugglers, they realize their only hope is doing the ""impossible""--building a new plane from the wreckage.",PG-13,Action and Adventure|Drama,,Edward Burns|Scott Frank,"Dec 17, 2004","Mar 1, 2005",$,20900803,112 minutes,20th Century Fox,This is one flight that never quite gets off the ground.,0.5,rotten,Peter T. Chattaway,0,Christianity Today,"September 22, 2006"
43037,1611,"On V.E. Day in 1945, as peace extends across Europe, Princesses Elizabeth and Margaret are allowed out to join the celebrations. It is a night full of excitement, danger and the first flutters of romance.",PG-13,Art House and International|Drama|Mystery and Suspense|Romance,Julian Jarrold,Trevor De Silva|Kevin Hood,"Dec 4, 2015","May 3, 2016",$,1626909,97 minutes,,"Fluffy, fun and all-round charming stuff.",0.6,fresh,Joanne Soh,0,The New Paper (Singapore),"September 20, 2017"
43112,1618,"Chinese director Zhang Yimou fuses a martial arts action-drama with a tragic romance in this elegant period piece. In the year 859 A.D., as the Tang dynasty is beset by rebellion, Leo (Andy Lau) and Jin (Takeshi Kaneshiro) are a pair of lawmen who have been given the task of ferreting out the leaders of a revolutionary faction known as the Flying Daggers. Working on a tip that members of the group are working out of a brothel called the Peony Pavilion, Jin arrives there in disguise and is introduced to a beautiful blind dancer named Mei (Zhang Ziyi). After watching Mei's performance following several drinks, Jin drunkenly attempts to have his way with her, and Leo is forced to intervene. After gaining Mei's trust in a game of skill, Leo arrests her and informs her that she'll be tortured if she doesn't tell all she knows about the Flying Daggers. Jin responds by helping Mei break out of prison, but he has an ulterior motive -- by following her, Leo and Jin are certain she'll lead them to the Flying Daggers. However, as he helps the blind girl find her way back home, Jin finds himself falling in love with Mei, and isn't certain if he's willing to betray her again.",PG-13,Action and Adventure|Art House and International|Drama,Yimou Zhang,Feng Li|Bin Wang|Yimou Zhang,"Dec 3, 2004","Mar 29, 2005",$,10928042,119 minutes,Sony Pictures Classics,"Though occasionally overwrought, peerless sequences, such as the sublime flight through a bamboo forest, ensure House Of Flying Daggers is a work of real beauty.",0.8,fresh,Luke Goodsell,0,Empire Magazine Australasia,"November 7, 2012"
43608,1639,"In this darkly erotic drama from cult filmmaker Jeanne Labrune, Isabelle Huppert stars as a high-class prostitute named Alice who serves up sexual fantasies for her clientele, from schoolgirl innocence to S&amp;M.; Fed up with the seamy underbelly of French masculinity, Alice crosses paths with Xavier, a neurotic psychoanalyst facing a marriage crisis. The two quickly realize their professions share a thing or two in common as they navigate the overlapping worlds of psychotherapy and sex therapy. -- (C) First Run Features",NR,Art House and International|Drama,Jeanne Labrune,Jeanne Labrune|Richard Debuisne,"Aug 26, 2011","Jan 17, 2012",$,8856,95 minutes,First Run Features,"At the end, there is no great revelation, but Huppert has succeeded once again in making us wonder what's going on in there.",0.75,fresh,Roger Ebert,1,Chicago Sun-Times,"October 6, 2011"
43676,1644,"Lawrence Kasdan's Silverado is a fond hark back to the all-star, big-budget westerns of the 1950s and 1960s. The various plotlines converge at the town of Silverado, held in thrall by crooked sheriff Brian Dennehy and his behemoth ""deputies."" The four disparate heroes--Kevin Kline, Kevin Costner, Scott Glenn and Danny Glover--prepare to do battle against Dennehy for personal reasons ranging from mercenary to altruistic. Sidelines characters include duplicitous, dandified gambler Jeff Goldblum, frontier widow Rosanna Arquette and gimlet-eyed saloon owner Linda Hunt. The film is stolen hands-down by Kevin Costner, playing an irresponsible young gunslinger who never speaks when hootin' and hollerin' will do. A classic, High Noon-style showdown caps this rousing retro western.",PG-13,Action and Adventure|Drama|Western,Lawrence Kasdan,Mark Kasdan|Lawrence Kasdan,"Jan 1, 1985","May 31, 1999",$,33200000,133 minutes,,"Called ""revisionist"" upon release in a bizarre misuse of the term, Silverado is neither something new nor something paying homage but rather a hollow facsimile",0.5,rotten,Walter Chaw,0,Film Freak Central,"March 10, 2010"
43704,1645,"Texas brothers--Toby (Chris Pine), and Tanner (Ben Foster), come together after years divided to rob branches of the bank threatening to foreclose on their family land. For them, the hold-ups are just part of a last-ditch scheme to take back a future that seemed to have been stolen from under them. Justice seems to be theirs, until they find themselves on the radar of Texas Ranger, Marcus (Jeff Bridges) looking for one last grand pursuit on the eve of his retirement, and his half-Comanche partner, Alberto (Gil Birmingham). As the brothers plot a final bank heist to complete their scheme, and with the Rangers on their heels, a showdown looms at the crossroads where the values of the Old and New West murderously collide.",R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,"Aug 12, 2016","Nov 22, 2016",$,26973524,102 minutes,Film 44,Hell or High Water is interested in so much more than whether or not the last man standing is the righteous one.,0.7,fresh,Sean Mulvihill,0,FanboyNation.com,"October 31, 2018"
43716,1646,"Director Alexander Payne (Sideways, The Descendants) takes the helm for this black and white road trip drama starring Bruce Dern as a tempestuous Missouri father who's convinced he's won a million dollar magazine sweepstakes, and Will Forte as the son who grudgingly agrees to drive him to Nebraska to claim his winnings. Bob Odenkirk and Stacy Keach costar.",R,Drama,Alexander Payne,Bob Nelson,"Nov 15, 2013","Feb 25, 2014",$,11348612,115 minutes,Paramount Pictures,One of the most pictorially concentric American films of recent years.,0.8,fresh,PJ Nabarro,0,Patrick Nabarro,"December 2, 2018"
44033,1657,"Famed action director Dante Lam returns with this explosive follow-up to his 2016 box office smash OPERATION MEKONG. When a terrorist plot to obtain nuclear materials is hidden under the cover of a violent coup, only the Chinese Navy's elite Jiaolong Assault Team have the deadly skill and precision needed to take on the situation.",NR,Action and Adventure,Dante Lam,Ji Feng,"Feb 23, 2018","Jul 24, 2018",$,1526248,141 minutes,,"Basically every great, good and decent war movie rolled into one amazing must-see spectacle.",0.9,fresh,Jeffrey Lyles,0,Lyles' Movie Files,"February 23, 2018"
44072,1665,"The indestructible hopped-up hitman Chev Chelios, played to the hilt once again by Jason Statham, returns in Crank High Voltage, picking up where the first film left off -- except this time, Chelios is chasing a Chinese gangster who hijacked his heart and substituted it with a mechanical one that needs to be jolted with an electric charge to stay pumping. Back for the fun is Chev's girlfriend Eve (",R,Action and Adventure|Comedy,Mark Neveldine|Brian Taylor,Brian Taylor|Mark Neveldine,"Apr 17, 2009","Sep 8, 2009",$,13630226,85 minutes,Lionsgate,...an agreeable companion piece to its admittedly superior predecessor.,0.62,fresh,David Nusair,0,Reel Film Reviews,"November 7, 2009"
44315,1677,"In this family-friendly comedy drama, Walter (Haley Joel Osment) is a shy and bookish boy just short of his teens whose mother impulsively decides to leave him for the summer with his eccentric grand-uncles, Hub (Robert Duvall) and Garth (Michael Caine). Walter isn't especially happy about being left in the middle of Texas with two old men, while Hub and Garth aren't too pleased to be stuck minding a boy, especially one who isn't accustomed to hunting, fishing, or firearms. When Walter starts hearing local gossip about his uncles' wild and wooly pasts, he begins asking a few questions, and while Hub and Garth don't enjoy having the boy poking into their pasts, as they start telling tales of their youthful adventures, they find themselves itching for some new adventures in their lives. Soon Walter is a semi-willing accomplice as his elderly guardians rediscover the wild, impulsive spirit of youth. Secondhand Lions was produced in part by the well-respected visual effects house Digital Domain, who also helped create the imagery for the film's flashback sequences.",PG,Comedy|Drama|Kids and Family,Tim McCanlies,Tim McCanlies,"Sep 19, 2003","Feb 3, 2004",$,41407470,107 minutes,New Line Cinema,End result: You can't believe any of it. And poor Haley Joel Osment. Now he sees dead movies. ,0.6,rotten,Joel Siegel,0,Good Morning America,"January 3, 2018"
44451,1680,"James White (Christopher Abbott) is a troubled twenty-something trying to stay afloat in a frenzied New York City. He retreats further into a self-destructive, hedonistic lifestyle, but as his mother (Cynthia Nixon) battles a serious illness James is forced to take control of his life. As the pressure on him mounts, James must find new reserves of strength or risk imploding completely. The directorial debut of MARTHA MARCY MAY MARLENE producer Josh Mond, JAMES WHITE, which had its world premiere at Sundance Film Festival 2014 where it was the winner of the ""Best of Next"" Audience Award, is a confident and closely observed debut that explores loss and the deep relationship between a mother and son. Abbott's strong central performance is aided by a stellar supporting cast featuring Cynthia Nixon (""Sex and the City""), Scott ""Kid Cudi"" Mescudi (""Comedy Bang",R,Drama,Josh Mond,Josh Mond,"Nov 13, 2015","Mar 22, 2016",$,101368,85 minutes,The Film Arcade,James White is a heartbreaking movie that runs on emotional adrenaline more than dramatic structure. ,0.7,fresh,Pat Padua,0,Spectrum Culture,"August 28, 2018"
44514,1682,"In the early evening of August 21, 2015, the world watched in stunned silence as the media reported a thwarted terrorist attack on Thalys train",PG-13,Drama,Clint Eastwood,Dorothy Blyskal,"Feb 9, 2018","May 22, 2018",$,35003216,120 minutes,,"A straightforward drama, this film works well enough for what it is but it could've been much better.",0.75,fresh,John Hanlon,0,John Hanlon Reviews,"November 20, 2018"
44629,1685,"Frankie is a Los Angeles drug dealer. He comes from a good family, owns his home, several cars and enjoys partying with his friends. Frankie is 19. When his friend Jake welches on a debt, Frankie and his boys kidnap Jake's 15-year-old brother Butch and hold him as a marker. Even though Butch has numerous chances to escape, he doesn't. He's enjoying partying with them, losing his virginity and having a good time -- until something goes horribly wrong.",R,Drama|Mystery and Suspense,Nick Cassavetes,Nick Cassavetes,"Jan 12, 2007","May 1, 2007",$,15133185,118 minutes,Universal Studios,This inspired-by-reality tale is essentially an emotional snuff film. It's the kind of misguided effort a middle-aged director indulges in when he wants to reinvent himself as edgy. ,0.47,rotten,Jeff Meyers,0,"Metro Times (Detroit, MI)","November 6, 2010"
44819,1690,"Fifteen-year-old Jim Hawkins stumbles upon a map to the greatest pirate trove in the universe. The tale follows Jim's fantastic journey across a parallel universe as cabin boy aboard a glittering space galleon. Befriended by the ship's charismatic cyborg (part man, part machine) cook John Silver, Jim blossoms under his guidance, and shows the makings of a fine spacer as he and the alien crew battle supernovas, black holes and ferocious space storms. But even greater dangers lie ahead when Jim discovers that his trusted friend Sliver is actually a scheming pirate with mutiny in mind. Confronted with a betrayal that cuts deep into his soul, Jim is transformed from boy to man as he finds the strength to face down the mutineers and discovers a ""treasure"" greater than he had ever imagined.",PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ron Clements|John Musker,Sam Levine|Alex Mann|Ron Clements|John Musker|Rob Edwards,"Nov 27, 2002","Apr 29, 2003",$,38120554,95 minutes,Buena Vista Distribution Compa,an adventure with some incredibly creative ways to pay tribute to Disney's original classic while realistically updating the story for a new generation,1.0,fresh,Kevin Carr,0,Fat Guys at the Movies,"January 10, 2016"
45042,1695,"The second chapter in the ""Bourne Trilogy,"" based on Robert Ludlum's best-selling espionage novels, reaches the screen in this sequel to the 2002 thriller The Bourne Identity. Jason Bourne (Matt Damon) has abandoned his life as a CIA assassin and has been traveling beneath the agency's radar, eventually reconnecting with Marie Kreutz (Franka Potente), the woman he loves. But Bourne is haunted by vivid dreams and troubling memories of his days as a killer, and he's not certain how much really happened and how much is a product of his imagination. When Bourne is led out of hiding by circumstances beyond his control, he must reconcile his past and present as he struggles to keep Marie out of harm's way and foil an international incident with dangerous consequences. The Bourne Supremacy also features Joan Allen as one of Bourne's superiors, while Julia Stiles and Brian Cox reprise their roles as intelligence agents from the first film.",PG-13,Action and Adventure|Drama|Mystery and Suspense,Paul Greengrass,Tony Gilroy,"Jul 23, 2004","Dec 7, 2004",$,176049130,108 minutes,Universal Pictures,"The strengths are amazing, and it's pretty impressive how thoroughly and successfully the movie rewrote the vocabulary of action cinema.",0.9,fresh,Tim Brayton,0,Antagony &amp; Ecstasy,"December 6, 2016"
45568,1707,"""Into the Blue"" is a high-stakes thriller set in the deep, shark-infested waters of the Bahamas. When young divers discover the wreckage of a cargo plane at the bottom of the sea, they believe their dream of buried treasure has come true. What they don't realize is that millions of dollars of illegal goods are in that sunken plane and a group of dangerous criminals are already desperately searching for it. As tensions mount and the friends begin to fight about what to do with their find, others get closer to discovering their secret -- and the treasure hunters quickly become the hunted.",PG-13,Action and Adventure|Mystery and Suspense,John Stockwell,Matt Johnson,"Sep 30, 2005","Dec 26, 2005",$,18472363,110 minutes,Sony Pictures,"Even as pure eye-candy ""Into The Blue"" is a miserable failure.",0.4,rotten,Cole Smithey,0,ColeSmithey.com,"April 15, 2009"
45708,1721,"THE EDGE OF SEVENTEEN is a new coming-of-age movie in the vein of Sixteen Candles and The Breakfast Club - an honest, candid, often hilarious look at what it's like to grow up as a young woman in today's modern world. Everyone knows that growing up is hard, and life is no easier for high school junior Nadine (Hailee Steinfeld), who is already at peak awkwardness when her all-star older brother Darian (Blake Jenner) starts dating her best friend Krista (Haley Lu Richardson). All at once, Nadine feels more alone than ever, until the unexpected friendship of a thoughtful boy (Hayden Szeto) gives her a glimmer of hope that things just might not be so terrible after all. The film also stars Kyra Sedgwick as Nadine's well-meaning but completely ineffective mother, and Woody Harrelson as Nadine's History teacher, mentor and reluctant sounding board. The Edge of Seventeen is produced by Academy Award winner James L. Brooks - the filmmaker behind big-screen, character-driven classics such as Terms of Endearment, Broadcast News, Big, Say Anything, The Simpsons, Jerry Maguire and As Good as It Gets.",R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,"Nov 18, 2016","Feb 14, 2017",$,14260193,98 minutes,STX Entertainment,"Insightful, thoroughly well-written, amazingly acted, deservedly touching and downright hilarious, The Edge of Seventeen needs to be seen if we want to get more movies of this quality within the well trodden genre.",0.9,fresh,Harris Dang,0,The AU Review,"November 1, 2018"
45878,1722,"Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law. Dwayne Johnson joins returning favorites Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bridges, Matt Schulze, Sung Kang, Gal Gadot, Tego Calderon and Don Omar for this ultimate high-stakes race. Since Brian and Mia Toretto (Brewster) broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom. As they assemble their elite team of top racers, the unlikely allies know their only shot of getting out for good means confronting the corrupt businessman who wants them dead. But he's not the only one on their tail. Hard-nosed federal agent Luke Hobbs (Dwayne Johnson) never misses his target. -- (C) Universal",PG-13,Action and Adventure|Drama|Mystery and Suspense,Justin Lin,Chris Morgan,"Apr 29, 2011","Oct 4, 2011",$,209805005,131 minutes,Universal Pictures,Check your brain at the door.,0.6,rotten,Candice Frederick,0,Reel Talk Online,"September 8, 2017"
46239,1744,"Director Ron Maxwell and producer Ted Turner return to the glory and tragedy of the Civil War in this historical drama, a prequel to Gettysburg, which examines the early days of the conflict through the experiences of three men. Col. Joshua Lawrence Chamberlain (Jeff Daniels) left behind a quiet life and a career as a college professor to become one of the Union's greatest military minds. Gen. Thomas ""Stonewall"" Jackson (Stephen Lang) was, like Chamberlain, a man of great religious faith who served in the defense of the Confederacy. And Gen. Robert E. Lee (Robert Duvall), who led the Confederate army, was a man who was forced to choose between his loyalty to the United States and his love of the Southern states where he was born and raised. As Chamberlain, Jackson, and Lee are followed through the declaration of war and the battles at Manassas, Antietam, Frederickburg, and Chancellorsville, the film also introduces us to the many supporting players in the epic tale of the war between the States, among them the women these men left behind, among them Fanny Chamberlain (Mira Sorvino) and Anna Jackson (Kali Rocha). Based on a novel by Jeff Shaara, Gods and Generals also features a new song written and performed by Bob Dylan.",PG-13,Classics|Drama,,,"Feb 21, 2003","Jul 15, 2003",$,12900000,229 minutes,Warner Bros. Pictures,Succumbs to turgidity. And...intentionally or not...conveys the impression that the film uncritically celebrates the Confederacy. [Blu-ray],0.38,rotten,Peter Canavese,0,Groucho Reviews,"May 30, 2011"
46671,1757,"In the next exciting chapter of the international phenomenon STEP UP, all-stars from previous installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers. (c) Lionsgate",PG-13,Drama|Musical and Performing Arts|Romance,Trish Sie,John Swetnam,"Aug 8, 2014","Nov 4, 2014",$,13617501,112 minutes,Lionsgate,"The film is like a bunch of music videos strung together with a romance angle. And as mentioned earlier, you don't go for this movie for scintillating dialogue, but to see them move it like experts on the dance floor.",0.6,fresh,Reagan Gavin,0,The Times of India,"November 13, 2017"
46718,1758,"A group of air crash survivors are stranded in the Mongolian desert with no chance of rescue. Facing a brutal environment, dwindling resources, and an attack by desert smugglers, they realize their only hope is doing the ""impossible""--building a new plane from the wreckage.",PG-13,Action and Adventure|Drama,,Edward Burns|Scott Frank,"Dec 17, 2004","Mar 1, 2005",$,20900803,112 minutes,20th Century Fox,This is one flight that never quite gets off the ground.,0.5,rotten,Peter T. Chattaway,0,Christianity Today,"September 22, 2006"
47228,1775,"In the mid-to-late 1960s, in Washington, D.C., vibrant soul music and exploding social consciousness were combining to unique and powerful effect. It was the place and time for Ralph Waldo ""Petey"" Greene Jr. to fully express himself--sometimes to outrageous effect--and ""tell it like it is."" With the support of his irrepressible and tempestuous girlfriend Vernell, the newly minted ex-con talks his way into an on-air radio gig at WOL-AM, where fellow prison inmate Milo's brother Dewey Hughes is the program director. At the station, Petey becomes an iconic radio personality, surpassing even the established popularity of his fellow disc jockeys, Nighthawk and Sunny Jim. Combining biting humor with social commentary, Petey openly courts controversy for station owner E.G. Sonderling. Petey was determined to make not just himself but his community heard during an exciting and turbulent period in American history. As Petey's voice, humor, and spirit surge across the airwaves with the vitality of the era, listeners tune in to hear not only incredible music but also a man speaking directly to them about race and power in America like few people ever have. Through the years, Petey's ""The truth just is"" style--on and off the air--would redefine both Petey and Dewey, and empower each to become the man he would most like to be.",R,Action and Adventure|Comedy|Drama,Kasi Lemmons,Michael Genet|Rick Famuyiwa,"Jul 27, 2007","Oct 30, 2007",$,4436352,118 minutes,Focus Features,"Though funny in places, the film lacks any decent secondary characters... but it's easy to see why Lemmons would decide to keep the camera as much as possible on the two excellent central performances.",0.6,fresh,Kaleem Aftab,0,The List,"November 3, 2018"
47345,1777,"When a Vietnam veteran discovers two million dollars while wandering through the aftermath of a Texas drug deal gone horribly awry, his decision to abscond with the cash sets off a violent chain reaction in a stripped-down crime drama from Joel and Ethan Coen. Llewelyn Moss (Josh Brolin) has just stumbled into the find of a lifetime. Upon discovering a bullet-strewn pickup truck surrounded by the corpses of dead bodyguards, Moss uncovers two million dollars in cash and a substantial load of heroin stashed in the back of the vehicle. Later, as an enigmatic killer who determines the fate of his victims with the flip of a coin sets out in pursuit of Moss, the disillusioned Sheriff Bell (Tommy Lee Jones) struggles to contain the rapidly escalating violence that seems to be consuming his once-peaceful Lone Star State town. Woody Harrelson, Javier Bardem, and Kelly MacDonald co-star in a distinctly American crime story that explores timeless biblical themes in a contemporary Southwestern setting.",R,Action and Adventure|Drama|Mystery and Suspense,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,"Nov 21, 2007","Apr 7, 2009",$,74223625,122 minutes,Miramax Films,"The film clearly and finally represents the mainstream success that has long eluded the Coens. Longtime fans, fear not: This is no sell-out. There is still plenty of what the Coens do best.",0.8,fresh,Giovanni Fazio,0,Japan Times,"February 28, 2018"
47622,1785,"The director of Mortal Kombat (1995) adapts another popular video game for the big screen with this gory action thriller. Milla Jovovich and Michelle Rodriguez star as Alice and Rain, two members of a commando team assigned to infiltrate the Hive, an underground research laboratory owned by the faceless conglomerate known as the Umbrella Corporation. A bio-engineered virus has been released into the maze-like Hive, turning the facility's employees into mindless, flesh-eating zombies. A single scratch or bite from one of these rampaging ghouls dooms its victim, so the commandos have their work cut out for them as they attempt to reach the Red Queen, the lab's supercomputer -- and their sole hope of halting the spread of the contagion. Before they can complete their mission, however, the soldiers must overcome a variety of deadly obstacles, including mutant dogs, lasers, and a genetically altered beast known as The Licker, whose strength increases with every victim it slays. Alice and Rain also discover that the release of the virus may not have been an accident, and that a cure may exist somewhere in the deadly Hive. Resident Evil co-stars Eric Mabius, James Purefoy, Martin Crewes, and Colin Salmon.",R,Action and Adventure|Horror|Mystery and Suspense,,,"Mar 15, 2002","Jul 30, 2002",$,39532308,100 minutes,Columbia Tristar Pictures,"A merely acceptable adaptation that feels more like a supernatural thriller with a couple of references to the game, involuntarily funny dialogue, and decent performances, than a terrifying production. [Full review in Spanish]",0.5,fresh,Sebastian Zavala,0,,"December 5, 2016"
47774,1788,"London 1818: a secret love affair begins between 23 year old English poet, John Keats, and the girl next door, Fanny Brawne, an outspoken student of fashion. This unlikely pair started at odds; he thinking her a stylish minx, she unimpressed by literature in general. It was the illness of Keats's younger brother that drew them together. Keats was touched by Fanny's efforts to help and agreed to teach her poetry. By the time Fanny's alarmed mother and Keats's best friend Brown realized their attachment, the relationship had an unstoppable momentum. Intensely and helplessly absorbed in each other, the young lovers were swept into powerful new sensations, ""I have the feeling as if I were dissolving"", Keats wrote to her. Together they rode a wave of romantic obsession that deepened as their troubles mounted. Only Keats's illness proved insurmountable.",PG,Drama|Romance,Jane Campion,Jane Campion,"May 15, 2009","Jan 26, 2010",$,4341275,119 minutes,Apparition Films,"Bright Star is a beautiful film, filled with the glories of nature and man that inspired Keats.",0.75,fresh,Kelly Jane,0,Washington Times,"December 4, 2018"
48090,1798,"For the Tibetan Mastiffs living on Snow Mountain, a dog's life has a simple riff: Guard a peaceful village of wool-making sheep from the thuggish wolf Linnux (Lewis Black) and his rabid pack. To avoid distractions, Mastiff leader Khampa (J.K. Simmons) forbids all music from the mountain. But when Khampa's son Bodi (Luke Wilson) discovers a radio dropped by a passing airplane, it takes just a few guitar licks for his fate to be sealed: Bodi wants to be a rock 'n' roll star. Yet that means defying his father's wishes, heading to the city, and locating the legendary - and reclusive - musician Angus Scattergood (Eddie Izzard), who needs to write a new song and fast. If Bodi can put a band together, help Angus with his song, and defeat the wolves' plot to take Snow Mountain, his life will be in tune. Bodi will become what he's always dreamed of being: More than a dog ... more than a Rock God... he'll be a ROCK DOG",PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,"Feb 24, 2017","May 23, 2017",$,9404922,80 minutes,Summit Premiere,"Has impressive designs and a handful of humorous moments, but it's generic storytelling and slow pacing has it be just another average animated film aimed at young audiences.",0.4,rotten,Rendy Jones,0,Rendy Reviews,"August 30, 2018"
48250,1801,"Directed by six-time Academy Award (R) nominee Peter Weir, THE WAY BACK is an epic story of survival, solidarity and indomitable human will. Shot in Bulgaria, Morocco and India, the film stars Jim Sturgess (Across the Universe, The Other Boleyn Girl), Ed Harris (Appaloosa) and Colin Farrell (In Bruges) as prisoners of a Soviet Union labor camp, who, along with four others, flee their Siberian Gulag and begin a treacherous journey across thousands of miles of hostile terrain. Academy Award (R) nominee Saoirse Ronan (Atonement, The Lovely Bones) and Mark Strong (Body of Lies, RocknRolla) co-star. Written by Weir and Keith Clarke, the film is Peter's first since 2003's Master and Commander: The Far Side of the World. It is inspired by the acclaimed book The Long Walk: The True Story of a Trek to Freedom, as well as first-person accounts and anecdotes as told to, and researched by Weir and executive producer Clarke. Produced by Joni Levin, Peter Weir, Duncan Henderson (Master and Commander: The Far Side of the World) and Nigel Sinclair (Terminator 3: Salvation), THE WAY BACK is an Exclusive Media Group, National Geographic Entertainment and ImageNation Abu Dhabi presentation and an Exclusive Films production. Keith Clarke, John Ptak, Guy East, Simon Oakes, Tobin Armbrust, Jake Eberts, Edward Borgerding, Mohamed Khalaf, Adam Leipzig, Scott Rudin and Jonathan Schwartz are Executive Producers. The film's Co-Producer is Roee Sharon Peled and Co-Executive Producer is Alex Brunner. Weir has assembled an accomplished group of filmmakers with whom he has previously collaborated, including Academy Award (R) winning Director of Photography Russell Boyd (Master and Commander, The Year of Living Dangerously, Gallipoli), Film Editor Lee Smith (Master and Commander, as well as The Dark Knight, for which he received an Academy Award (R) nomination), Production Designer John Stoddart (Fearless, The Mosquito Coast) and Costume Designer Wendy Stites, Oscar (R) nominated for Master and Commander and with credits on nine Weir films. -- (C) New Market Films",PG-13,Drama,Peter Weir,,"Jan 21, 2011","Apr 22, 2011",$,2500000,133 minutes,,"The Way Back is a hefty cinematic experience set against the vast vistas of history that may not have you cheering on its heroes at every turn, but that will enthrall you in their epic journey nonetheless.",0.6,fresh,Matthew Migliorini,0,CineVue,"November 6, 2018"
48434,1808,"Freshly graduated from college with a promising future ahead, 22 year-old Christopher McCandless instead walked out of his privileged life and into the wild in search of adventure. What happened to him on the way transformed this young wanderer into an enduring symbol for countless people. Was Christopher McCandless a heroic adventurer or a na",R,Action and Adventure|Drama,Sean Penn,Sean Penn,"Oct 19, 2007","Mar 4, 2008",$,18173360,148 minutes,Paramount Vantage,"Every once in awhile, a movie will come outta nowhere and blow your socks off.",0.9,fresh,,0,JoBlo's Movie Emporium,"April 5, 2011"
48802,1822,"From the team behind Man on Wire comes the story of Nim, the chimpanzee who in the 1970s became the focus of a landmark experiment which aimed to show that an ape could learn to communicate with language if raised and nurtured like a human child. Following Nim's extraordinary journey through human society, and the enduring impact he makes on the people he meets along the way, the film is an unflinching and unsentimental biography of an animal we tried to make human. What we learn about his true nature - and indeed our own - is comic, revealing and profoundly unsettling. -- (C) Roadside Attractions",PG-13,Art House and International|Documentary,James Marsh,,"Jul 8, 2011","Feb 7, 2012",$,410077,99 minutes,Roadside Attractions,"If Disney started up a documentary division the they would probably have a similar tone to the hackneyed, tired, saccharin approach that Marsh has taken to tell what is actually a profoundly disturbing story.",0.4,rotten,Joseph Walsh,0,CineVue,"August 29, 2018"
48981,1832,"First there was an opportunity......then there was a betrayal. Twenty years have gone by. Much has changed but just as much remains the same. Mark Renton returns to the only place he can ever call home.They are waiting for him: Spud, Sick Boy, and Begbie. Other old friends are waiting too: sorrow, loss, joy, vengeance, hatred, friendship, love, longing, fear, regret, diamorphine, self-destruction and mortal danger, they are all lined up to welcome him, ready to join the dance.",R,Drama,Danny Boyle,John Hodge,"Mar 17, 2017","Jun 27, 2017",$,2395410,118 minutes,TriStar Pictures,"Boyle's direction is still fast paced and throbbing with energy and pounding music tracks, but the tone is bleaker than the original, more poignant, more layered. ",0.8,fresh,Alexa Dalby,0,Dog and Wolf,"November 18, 2018"
49175,1837,"""Becoming Jane,"" is the story of the great, untold romance that inspired a young Jane Austen, played by Anne Hathaway. Willful and spirited, Jane is not ready to be tied down to anything but her writing. That is until she meets Tom Lefro, a charming rogue from London who spends more time drinking and socializing than on his law studies. The film also stars Julie Walters, James Cromwell and Maggie Smith. It is written by Sarah Williams and Kevin Hood, and directed by Julian Jarrold.",PG,Drama|Romance,Julian Jarrold,Sarah Williams|Kevin Hood,"Aug 3, 2007","Feb 12, 2008",$,18602895,120 minutes,Miramax Films,"With a spot-on accent and altogether charming performance, Hathaway makes another convincing statement that she has grown, as a woman and as an actress.",0.88,fresh,Mike Scott,0,Times-Picayune,"August 14, 2009"
49299,1839,"The musicians of the Buena Vista Social Club exposed the world to Cuba's vibrant culture with their landmark 1997 album. Now, against the backdrop of Cuba's captivating musical history, hear the band's story as they reflect on their remarkable careers and the extraordinary circumstances that brought them together.",PG,Documentary,Lucy Walker,,"May 26, 2017","Sep 12, 2017",$,118253,111 minutes,,"Fans of both Wenders' movie and of Cuban music ... will find it expands their knowledge and love of son, Cuba's unique sound.",0.7,fresh,Richard James,0,South China Morning Post,"March 15, 2018"
